ip1,ip2,port1,port2,proto,pkts12,pkts21,bytes12,bytes21,etime,class,app,entity1,entity2,part1,part2,link_label
192.168.7.47,202.106.0.20,62587,53,17,1,1,56,288,1525251601,8,916,192.168.7.47_62587,202.106.0.20_53,1,1,1_1
192.168.7.185,114.114.114.114,61072,53,17,1,1,64,178,1525251601,8,916,192.168.7.185_61072,114.114.114.114_53,3,3,3_3
192.168.7.219,202.106.0.20,60645,53,17,1,1,69,235,1525251600,8,916,192.168.7.219_60645,202.106.0.20_53,1,1,1_1
192.168.6.237,202.106.0.20,52878,53,17,1,1,82,534,1525251600,8,916,192.168.6.237_52878,202.106.0.20_53,3,1,1_3
192.168.6.237,202.106.0.20,55381,53,17,1,1,74,526,1525251600,8,916,192.168.6.237_55381,202.106.0.20_53,3,1,1_3
192.168.6.237,202.106.0.20,50629,53,17,1,1,72,139,1525251601,8,916,192.168.6.237_50629,202.106.0.20_53,3,1,1_3
192.168.7.49,8.8.8.8,50326,53,17,1,1,71,126,1525251602,8,916,192.168.7.49_50326,8.8.8.8_53,4,4,4_4
192.168.7.49,8.8.8.8,59329,53,17,1,1,71,126,1525251602,8,916,192.168.7.49_59329,8.8.8.8_53,4,4,4_4
192.168.7.47,202.106.0.20,60481,53,17,1,1,52,284,1525251601,8,916,192.168.7.47_60481,202.106.0.20_53,1,1,1_1
192.168.7.49,202.106.0.20,50326,53,17,1,1,71,126,1525251602,8,916,192.168.7.49_50326,202.106.0.20_53,4,1,1_4
192.168.7.49,202.106.0.20,59329,53,17,1,1,71,126,1525251602,8,916,192.168.7.49_59329,202.106.0.20_53,4,1,1_4
